Tid,Items
T792,"item68,item26,item14,item28,item32,item70,item12,item27,item24,item34,item59"
T313,"item68,item26,item12,item28,item30,item24,item34,item10,item23,item70,item32,item13,item14,item36,item35,item27,item11,item59,item45,item25"
T193,"item68,item25,item36,item12,item35,item30,item24,item10,item26,item70,item27,item59,item23,item11,item28"
T870,"item68,item25,item27,item59,item12,item34,item10,item23,item24,item11,item28,item32"
T538,"item68,item25,item24,item27,item13,item45,item11,item12,item35,item70,item34,item30"
T221,"item68,item24,item23,item26,item13,item36,item45,item32,item11,item28,item70,item30,item14,item27,item10,item25,item35,item59,item34,item12"
T657,"item68,item24,item10,item25,item13,item70,item59,item32,item12,item36,item23,item27,item35"
T794,"item68,item23,item45,item35,item34,item36,item12,item32,item10,item13,item26,item14,item59,item30,item28,item27"
T213,"item68,item23,item27,item45,item35,item11,item14,item70,item28,item34,item13,item59,item26,item36,item32,item12,item25"
T130,"item68,item23,item25,item32,item30,item70,item45"
T300,"item68,item23,item12,item27,item25,item45,item13,item32,item70,item59,item14,item30,item36"
T780,"item68,item14,item70,item27,item32,item11,item24,item36,item30,item12"
T610,"item68,item14,item59,item70,item35,item34,item32,item10,item26,item13"
T584,"item68,item14,item13,item32,item59,item30,item28,item11,item25,item27,item10,item36"
T148,"item68,item12,item25,item24,item35,item11,item14,item32,item10,item34,item30,item23,item36,item13,item70,item26,item27,item45,item59"
T585,"item68,item11,item70,item30,item59,item13,item10,item12,item25,item35,item24"
T565,"item68,item11,item24,item30,item25,item26,item27,item36,item13,item10,item34,item14,item35,item23,item45,item70"
T403,"item68,item10,item36,item59,item35,item24,item45,item27,item28,item25,item30,item11,item32,item23,item13,item34,item70"
T287,"item68,item10,item35,item36,item59,item12,item32,item14,item25,item28"
T418,"item68,item10,item12,item45,item59,item14,item36,item25,item23,item13,item26,item35,item11,item34,item27"
T205,"item59,item70,item34,item25,item68,item23,item45,item36,item12,item10,item13,item11"
T440,"item59,item70,item24,item26,item13,item36,item23,item12,item27,item28"
T931,"item59,item68,item45,item10,item25,item24,item35,item14,item13,item30,item12,item23,item28,item70,item34,item36,item27,item26"
T10,"item59,item68,item45,item10,item24,item13,item28,item70,item14,item11,item36,item26,item35,item12,item27,item25,item30,item32,item34,item23"
T245,"item59,item68,item28,item34,item14,item32,item35,item36,item25,item26,item10,item30,item23,item13"
T750,"item59,item68,item11,item70,item14,item10,item35,item28,item25,item45,item13,item26,item36,item24,item23"
T132,"item59,item45,item36,item24,item10"
T135,"item59,item45,item28,item25,item35,item23,item14,item32"
T844,"item59,item45,item26,item24,item32,item14,item28,item35,item11,item10,item68,item70,item27,item36,item25,item23,item34"
T683,"item59,item36,item30,item32,item12,item68,item14,item45,item28,item13,item24,item34,item27,item10,item11,item26,item35,item23"
T316,"item59,item36,item30,item12,item68,item32,item25,item11,item10,item34"
T924,"item59,item36,item26,item11,item45,item23,item14,item35,item13,item68,item70,item25,item28,item34,item30,item32,item27,item10,item12"
T251,"item59,item35,item34,item30,item26,item10,item36,item12,item13,item28,item32,item70,item25"
T592,"item59,item35,item23,item32,item11,item70,item24,item25,item26,item13"
T776,"item59,item34,item28,item10,item27,item36,item14,item24,item35,item45,item68,item26,item12"
T737,"item59,item32,item28,item68,item70,item12,item34,item30,item26,item10,item23,item13,item35,item45,item27,item14,item11,item25"
T514,"item59,item32,item27,item14,item25,item13,item11,item68,item10,item35,item28,item34,item12,item24,item36,item26,item23,item70,item45"
T312,"item59,item32,item24,item11,item13,item28,item14,item10,item27,item68,item36,item12,item26"
T426,"item59,item32,item11,item23,item14,item26,item45,item30,item34,item68,item10,item35,item25,item70,item27,item12,item28"
T340,"item59,item30,item35,item45,item14,item70,item11,item23,item26,item24,item10,item12"
T600,"item59,item30,item35,item24,item23,item32,item11,item36,item28,item70,item34,item25,item68,item26,item14,item12,item13"
T199,"item59,item30,item26,item10,item45,item27,item23,item11,item25,item36,item70,item32,item14,item34,item68,item35,item13"
T800,"item59,item30,item11,item70,item23,item32,item34,item10,item26,item45,item68,item36,item14,item27,item25,item35"
T901,"item59,item28,item35,item24,item26,item34,item30,item27,item68,item11,item23,item45,item32,item25"
T877,"item59,item28,item35,item10,item34,item24,item45,item12,item14,item27,item23,item36,item26"
T734,"item59,item28,item32,item11,item36,item14,item13,item26,item27,item23,item68,item10"
T906,"item59,item28,item10,item35,item68,item36,item32,item27,item23,item70"
T934,"item59,item27,item32,item45,item14,item10,item25,item34,item12,item36,item11,item35,item24,item68,item13,item30,item23,item26"
T254,"item59,item27,item32,item34,item13,item45,item24,item68,item12,item14,item28,item11,item30,item35,item23,item25,item10"
T176,"item59,item27,item24,item70,item30,item26,item12,item14,item34,item36,item35,item13,item28,item10"
T410,"item59,item27,item11,item23,item32,item28,item68,item36,item12,item13,item35,item10,item34,item24,item14,item25,item30,item45"
T78,"item59,item26,item36,item12,item23,item13"
T414,"item59,item26,item35,item32,item23,item28,item25,item24,item11,item14,item30,item36"
T533,"item59,item26,item34,item45,item24,item35,item30,item28,item32,item11,item10,item23,item68,item12,item36,item25,item27,item14,item70,item13"
T880,"item59,item26,item30,item23,item27,item14,item34,item12,item36,item35,item25,item10,item45,item13,item70"
T501,"item59,item26,item23,item12,item11,item10,item30,item14,item45,item70,item13,item35,item25,item34,item28,item24,item68"
T470,"item59,item25,item70,item68,item26,item45,item24,item35,item36,item27,item28,item30,item23,item32,item10,item14"
T39,"item59,item25,item13,item36,item30,item32,item34,item11,item28,item10,item26,item70,item68,item45,item27,item14,item23,item12,item24,item35"
T669,"item59,item24,item35,item32,item34,item13,item11,item28,item30,item10,item27,item25,item12"
T688,"item59,item24,item26,item70,item12,item14,item45,item30,item68,item36"
T151,"item59,item24,item25,item70,item23,item35,item30,item36,item32,item27,item10,item45,item13,item26,item14"
T549,"item59,item14,item34,item10,item25,item13,item26,item70,item23,item28,item30,item11,item12,item36,item68,item32,item27"
T108,"item59,item13,item32,item14,item26,item45"
T580,"item59,item13,item25,item68,item45,item32,item27,item30,item10,item36,item12,item26,item28,item70,item23,item14,item34,item35,item24"
T335,"item59,item13,item14,item45,item36,item27,item26,item30,item10,item11,item35,item23,item32,item25,item24,item68,item34"
T649,"item59,item12,item36,item26,item70,item27,item32,item68,item45,item11,item25,item14,item13,item35"
T493,"item59,item12,item32,item36,item24,item70,item26,item28,item35,item23,item11,item13,item45,item34,item10,item30"
T451,"item59,item11,item36,item28,item23,item68,item26,item27,item70,item10,item32,item30,item35,item13,item34,item24,item45,item25,item12,item14"
T691,"item59,item11,item34,item28,item32,item24,item26,item45,item13,item12,item30,item23,item68,item10,item27,item14,item36,item70,item25"
T701,"item59,item10,item28,item32,item30,item68,item27,item35,item26,item70,item36,item24,item23,item11,item12,item34,item25"
T305,"item59,item10,item13,item26,item68,item30,item35,item23,item28,item24,item70,item11,item25,item12,item32,item36,item14,item34"
T465,"item59,item10,item11,item24,item45,item25,item35,item27,item70,item14,item28,item32,item26,item23,item13,item34,item30"
T276,"item45,item70,item27,item35,item13,item36,item11,item26,item34,item24,item32,item12,item30,item25,item14,item10,item28,item68,item23,item59"
T471,"item45,item68,item32,item59,item12,item27,item35,item26,item70,item14,item36,item30,item11"
T160,"item45,item59,item34,item10,item12,item26,item23,item68,item36,item28,item70,item32,item11,item25"
T364,"item45,item59,item32,item10,item14,item35,item24,item70,item28,item25,item34,item30,item11,item13,item12,item27,item26,item23,item68,item36"
T44,"item45,item59,item26,item36,item13,item12,item23,item24,item14,item32,item27,item11,item30,item25,item35,item34,item10,item68,item70,item28"
T871,"item45,item36,item59,item32,item30,item14,item13,item24,item12,item25,item26,item68,item34,item11,item28"
T320,"item45,item36,item32,item35,item12,item30,item23,item26,item10,item11,item14"
T200,"item45,item36,item12,item30,item14,item59,item25,item35,item68,item23,item11,item32"
T644,"item45,item34,item59,item26,item13,item68,item28,item24,item27,item25,item32,item36,item12,item23,item14,item70,item10,item11,item30,item35"
T179,"item45,item34,item30,item36,item10,item23,item12,item70,item13,item68,item35,item28,item59,item14,item26,item27,item11,item25,item24,item32"
T495,"item45,item32,item30,item27,item34,item14,item68,item36,item11,item70"
T671,"item45,item32,item26,item14,item34,item10,item24,item13,item28,item70,item35,item12,item11"
T954,"item45,item30,item27,item28,item13,item10,item26,item12,item25,item35,item36,item23,item32,item24,item11,item59,item34"
T899,"item45,item30,item25,item36,item59,item23,item10,item27,item12,item35,item11,item32,item14"
T893,"item45,item30,item11,item68,item14,item10,item32,item34,item36,item23,item25,item28,item70,item12,item24,item59,item13,item27"
T238,"item45,item28,item70,item30,item59,item35,item26,item36,item24,item27,item10,item11,item14,item32"
T764,"item45,item28,item26,item35,item27,item10,item13,item25,item34,item68,item11,item24,item30,item23,item59,item12,item14,item32"
T695,"item45,item27,item36,item14,item28,item32,item24,item35,item34,item10,item25,item11,item23,item26,item59"
T904,"item45,item27,item30,item13,item34,item12,item68,item14,item28,item11"
T387,"item45,item27,item23,item12,item30,item25,item35,item34,item28,item26,item10,item14,item13,item24,item11"
T551,"item45,item27,item14,item23,item28,item32,item70,item25,item68,item36,item13,item26,item59,item12,item24,item11,item10"
T311,"item45,item26,item35,item68,item59,item34,item32,item11,item12,item25,item10"
T79,"item45,item26,item25,item13,item34"
T907,"item45,item25,item68,item35,item23,item34,item27,item11,item13,item30,item10,item14"
T942,"item45,item25,item36,item59,item13,item28,item26,item11,item10,item34,item24,item27,item30,item68,item32,item14,item70,item12"
T808,"item45,item25,item26,item32,item28,item13,item35,item68,item11,item24,item34,item10,item12,item14,item27,item23,item30"
T468,"item45,item24,item70,item10,item30,item13,item14,item11,item27,item23,item36,item12,item35,item26,item28,item34,item68,item32"
T227,"item45,item24,item36,item23,item59,item35,item30,item32,item10,item25,item28,item26,item68,item34,item70,item11,item27,item13,item14,item12"
T482,"item45,item24,item34,item30,item32,item10,item26,item23,item35,item13,item11,item68,item70,item25,item27,item12,item36"
T956,"item45,item24,item30,item25,item23,item13,item14,item59,item36,item26,item12,item28,item11"
T548,"item45,item24,item10,item12,item35,item36,item13,item23,item30,item70,item32,item14,item59,item34,item25,item11,item68,item28"
T765,"item45,item23,item25,item35,item28,item27,item26,item32,item70,item36,item13"
T207,"item45,item13,item14,item27,item12,item32,item36,item24,item23,item11,item35,item26,item59,item28,item30,item68,item10,item70"
T325,"item45,item13,item12,item30,item10,item23,item24,item32,item25,item36,item34,item11,item35,item26,item28,item14,item68,item70,item59,item27"
T455,"item45,item12,item36,item26,item27,item28,item14,item25,item11,item23,item10,item70,item35,item34,item13,item32,item68"
T61,"item45,item12,item30,item14,item36,item28,item23,item11"
T696,"item45,item12,item30,item13,item23,item34,item32,item59,item70,item26,item68,item25,item10,item27,item11,item36,item28,item24"
T464,"item45,item11,item70,item26,item35,item23,item28,item24,item36,item14,item30,item25,item10,item34,item32,item13,item27"
T149,"item45,item11,item36,item70,item24,item68,item23,item25,item26,item28,item27,item14,item35,item34,item32,item30"
T816,"item45,item11,item23,item25,item14,item68,item24,item70,item35,item30,item36,item12,item28,item27,item34,item32,item10,item26,item13"
T402,"item45,item11,item14,item23,item28,item32,item36,item13,item59,item10,item70,item12,item35,item25,item68"
T916,"item45,item10,item68,item59,item23,item36,item12,item13,item27,item35,item26,item14,item25,item30,item11,item28,item24,item32,item70"
T591,"item45,item10,item34,item14,item59,item11,item70,item24,item32,item28,item35,item68,item23,item26,item27"
T552,"item45,item10,item32,item23,item24,item11,item30,item14,item68,item25"
T80,"item45,item10,item24,item36,item11,item30,item34"
T131,"item36,item68,item28,item32,item27,item70"
T785,"item36,item45,item35,item30,item11,item27,item14,item68,item25,item32,item70,item13,item12,item24,item59,item10,item28,item26"
T215,"item36,item45,item27,item68,item23,item70,item34,item12,item13,item26,item59,item30,item25,item24,item10"
T239,"item36,item45,item25,item24,item32,item68,item13,item59,item28,item35"
T14,"item36,item45,item14,item11,item34,item32,item35,item13,item59,item23,item25,item12,item68,item26,item70,item10,item24,item27,item30,item28"
T781,"item36,item35,item27,item12,item14,item26,item28,item24,item70,item13,item68,item10"
T289,"item36,item35,item13,item10,item34,item27,item26,item23,item45,item12,item32,item14,item30,item25,item70,item59,item68,item28"
T380,"item36,item35,item11,item24,item28,item23,item25,item34,item45,item70"
T264,"item36,item34,item11,item70,item25,item59,item23,item28,item13,item27,item12,item32,item24"
T230,"item36,item34,item10,item12,item70,item35,item68,item11,item23,item59,item32,item13"
T978,"item36,item32,item59,item68,item24,item12,item14,item27,item34,item28,item45,item23,item25,item10"
T255,"item36,item32,item59,item13,item68,item30,item24,item27,item23,item45,item25"
T168,"item36,item32,item59,item10,item11,item23,item25,item12,item30,item70,item26,item24,item13"
T95,"item36,item32,item34,item13,item70"
T374,"item36,item32,item13,item23,item27,item12,item25,item26,item68,item24"
T586,"item36,item32,item12,item24,item30,item45,item13,item59,item34,item68,item35,item26,item27,item28"
T921,"item36,item30,item70,item11,item59,item12,item34,item10,item26,item24"
T510,"item36,item30,item68,item70,item12,item59,item13,item11,item27,item23,item35,item24,item14,item32,item26,item45"
T572,"item36,item30,item32,item12,item45,item25,item27,item26,item14,item70,item28"
T244,"item36,item30,item26,item10,item28,item12,item14,item59,item11,item23,item13,item24,item25,item32,item68"
T972,"item36,item28,item45,item68,item30,item10,item11,item24,item25,item27,item70,item23,item13,item35,item26,item12,item32"
T428,"item36,item28,item12,item68,item25,item11,item32,item34,item27,item14,item59,item13,item70,item30,item35,item23,item26,item24,item10"
T361,"item36,item27,item45,item28,item59,item12,item24,item23,item30,item11,item34,item70"
T616,"item36,item27,item45,item23,item30,item59,item32,item14,item26,item10"
T117,"item36,item27,item30,item68"
T560,"item36,item26,item25,item11,item10,item32,item59,item28,item45,item34,item35,item68,item23,item70,item24,item13,item14,item27"
T544,"item36,item26,item13,item14,item12,item23,item68,item24,item34,item35,item11,item70,item45,item30,item10,item27,item28"
T602,"item36,item26,item13,item12,item68,item11,item30,item34,item70,item35,item32"
T805,"item36,item25,item70,item34,item32,item59,item30,item11,item24,item45,item28,item13,item35,item27,item23,item12"
T181,"item36,item25,item59,item23,item45,item26,item70,item30,item27,item68,item12,item32,item10,item35,item28"
T310,"item36,item24,item45,item27,item30,item10,item70,item14,item28,item68,item34,item25,item59,item11,item23,item32,item26,item13"
T810,"item36,item24,item32,item23,item25,item14,item34,item59,item70,item26,item35,item28,item12,item13,item27,item68,item30,item10,item45"
T430,"item36,item24,item14,item11,item27,item35,item23,item28,item30,item25,item45,item70,item59,item32,item12,item34,item13"
T936,"item36,item23,item27,item68,item10,item13,item25,item26,item24,item45,item59,item70,item14,item32,item11"
T747,"item36,item14,item32,item70,item28,item45,item12,item68,item59,item30,item23,item10,item34,item13,item25,item27,item26,item24"
T480,"item36,item14,item26,item12,item35,item45,item25,item68,item13,item59,item11,item24"
T679,"item36,item13,item59,item26,item12,item23,item34,item45,item24,item10,item28,item14,item68,item70"
T712,"item36,item13,item24,item32,item30,item45,item28,item27,item23,item68,item26,item11,item35,item12,item70,item14"
T34,"item36,item12,item68,item34,item35,item30,item24,item14,item32,item11,item45,item28,item59,item70,item13,item27,item23,item26,item25,item10"
T694,"item36,item12,item25,item11,item34,item35,item70,item24,item30,item10,item13,item26,item27,item28,item23,item68,item32"
T362,"item36,item11,item35,item70,item28,item27,item32,item34,item23,item13,item45,item68"
T297,"item36,item11,item27,item12,item68,item25,item10,item70,item23,item24,item13"
T878,"item36,item10,item68,item25,item45,item23,item34,item11,item59,item28,item35,item27,item13,item30"
T995,"item36,item10,item26,item28,item11,item59,item70,item35,item68,item30,item14,item32,item25,item24,item27,item12,item13,item45,item34,item23"
T681,"item36,item10,item24,item68,item25,item12,item32,item30,item13,item34,item35,item23,item14,item26,item11,item45,item28,item59,item27,item70"
T664,"item35,item70,item26,item25,item11,item30,item14,item10,item34,item12,item59,item36,item27,item32,item23,item28,item68"
T175,"item35,item68,item70,item10,item27,item36,item11,item45,item32,item28,item13,item30,item59,item23,item25,item14"
T988,"item35,item68,item26,item11,item45,item14,item30,item70,item32,item28,item34"
T388,"item35,item68,item25,item36,item70,item45,item28,item59,item23,item12,item10,item27,item14,item26,item34,item24"
T267,"item35,item59,item68,item28,item10,item23,item14,item34,item30,item32,item11,item70,item26,item24,item27,item12,item45,item13,item25,item36"
T678,"item35,item59,item34,item27,item30,item11,item26,item28,item12,item24,item70,item68,item14,item45,item25,item13,item10,item23,item32"
T830,"item35,item59,item32,item28,item68,item10,item14,item30,item70,item25,item27,item12,item24,item26,item45,item11,item13,item34,item23"
T307,"item35,item59,item14,item45,item11,item30,item28,item34,item10,item25,item68,item32,item70,item12,item27,item23,item24"
T974,"item35,item59,item13,item34,item25,item45,item36,item12,item30,item27,item11"
T355,"item35,item59,item10,item12,item27,item13,item25,item36,item45,item23,item32,item70,item14,item28,item34,item68,item26,item11,item30,item24"
T275,"item35,item45,item68,item28,item24,item27,item36,item13,item23,item32,item12,item34,item59,item30,item10,item25,item11,item14"
T62,"item35,item45,item12,item32,item27,item30,item68"
T607,"item35,item36,item34,item13,item24,item26,item30,item70,item27,item45,item14,item11,item12,item32,item68,item10,item25"
T960,"item35,item36,item32,item30,item68,item34,item10,item25,item28,item23,item70,item12,item13,item45,item26,item14,item59,item27,item24"
T372,"item35,item36,item27,item70,item12,item34,item25,item13,item11,item23,item28,item14,item59,item30"
T675,"item35,item36,item14,item68,item23,item11,item12,item24,item59,item70,item45,item32,item26,item13,item10"
T105,"item35,item36,item14,item24"
T416,"item35,item36,item13,item24,item10,item68,item27,item26,item23,item28,item14"
T889,"item35,item34,item70,item30,item32,item23,item36,item12,item26,item11,item14,item27,item24,item59,item68,item13"
T714,"item35,item34,item30,item26,item23,item24,item68,item11,item27,item59,item70,item28"
T41,"item35,item34,item26,item27,item28,item36,item59,item45,item68,item70,item25,item24,item14,item10,item32,item13,item11,item30,item23,item12"
T52,"item35,item34,item24,item28,item70,item10,item23,item13,item27,item26,item59,item11,item32"
T809,"item35,item32,item45,item12,item36,item34,item27,item24,item14,item26,item70,item13,item11,item28,item25"
T208,"item35,item30,item27,item12,item13,item26,item14,item32,item68,item10,item70"
T437,"item35,item30,item13,item28,item23,item32,item70,item11,item59,item24,item12,item14,item34,item25,item36,item27"
T250,"item35,item30,item12,item14,item24,item36,item45,item13,item11,item68,item32,item26,item10,item23,item25"
T25,"item35,item28,item36,item34,item45,item13,item26,item25,item14,item24,item32,item59,item30,item12,item23,item10,item11,item70,item27,item68"
T788,"item35,item28,item36,item32,item70,item14,item11,item45,item10,item26,item68"
T947,"item35,item28,item25,item26,item13,item10,item12,item32,item68,item30,item14,item11,item45,item59,item27,item36,item24,item34"
T599,"item35,item28,item12,item10,item24,item25,item27,item45,item13,item11,item68,item32,item34,item36"
T537,"item35,item28,item10,item23,item14,item70,item32,item30,item27,item11,item34,item25,item36,item59,item45,item26,item12,item24"
T409,"item35,item27,item30,item70,item36,item32,item25,item24,item26,item34,item14,item28,item23,item10,item13,item11"
T293,"item35,item27,item30,item23,item25,item14,item32,item28,item34,item26,item45,item36,item13,item10,item68,item70,item59,item11,item24"
T76,"item35,item27,item13,item34,item10,item12,item36,item32"
T631,"item35,item26,item45,item32,item25,item12,item30,item36,item34,item24,item68,item14,item23,item70,item59,item28,item13,item11,item10"
T930,"item35,item26,item45,item14,item25,item68,item24,item59,item70,item32,item11,item27,item23,item30,item10,item34,item12,item36"
T925,"item35,item26,item14,item34,item12,item28,item10,item25,item59,item36,item70,item23,item30,item45,item32,item68,item11,item24"
T499,"item35,item26,item11,item45,item25,item30,item27,item28,item59,item36,item10,item70,item34"
T650,"item35,item26,item11,item14,item24,item30,item27,item36,item13,item25,item70,item10,item59,item12,item32,item68,item45,item34"
T718,"item35,item25,item45,item11,item13,item32,item26,item70,item28,item12,item14,item34,item59,item27,item24,item30,item23"
T146,"item35,item24,item70,item26,item30,item14,item45,item11,item13,item12,item32,item36,item10,item68,item25,item23,item28"
T116,"item35,item24,item30,item28,item70,item34"
T550,"item35,item23,item28,item34,item68,item27,item14,item26,item36,item10,item25,item12,item70,item59,item32,item45,item30,item24,item13"
T920,"item35,item23,item13,item70,item68,item30,item34,item10,item26,item36,item24,item14,item25,item12,item59,item27,item45"
