,Tid,Items
13,T762,"['item59', 'item70', 'item45', 'item14', 'item30', 'item35', 'item68', 'item32', 'item27', 'item36', 'item25', 'item13', 'item10']"
14,T195,"['item59', 'item70', 'item30', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
15,T338,"['item59', 'item70', 'item35', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item26', 'item36', 'item28', 'item11', 'item23', 'item10', 'item13', 'item45']"
16,T633,"['item59', 'item70', 'item35', 'item68', 'item12', 'item27', 'item34', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item13']"
17,T536,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
18,T961,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
19,T617,"['item70', 'item30', 'item14', 'item68', 'item27', 'item26', 'item36', 'item11', 'item24', 'item10', 'item13']"
20,T637,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
21,T940,"['item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
22,T933,"['item59', 'item70', 'item45', 'item35', 'item14', 'item68', 'item32', 'item34', 'item11', 'item24', 'item25', 'item13', 'item10']"
23,T301,"['item70', 'item14', 'item30', 'item35', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item23', 'item24', 'item25', 'item10', 'item45']"
24,T109,"['item70', 'item35', 'item26', 'item11', 'item25', 'item10']"
25,T189,"['item59', 'item70', 'item35', 'item14', 'item30', 'item12', 'item32', 'item26', 'item36', 'item11', 'item24', 'item25', 'item13', 'item45']"
26,T55,"['item59', 'item70', 'item30', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item24', 'item25', 'item10', 'item13', 'item45']"
27,T185,"['item59', 'item70', 'item35', 'item14', 'item12', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item45']"
28,T19,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
29,T825,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
30,T542,"['item59', 'item70', 'item14', 'item35', 'item68', 'item12', 'item32', 'item27', 'item26', 'item11', 'item36', 'item23', 'item24', 'item13']"
31,T887,"['item70', 'item14', 'item30', 'item68', 'item12', 'item26', 'item27', 'item34', 'item36', 'item11', 'item28', 'item10']"
32,T417,"['item59', 'item70', 'item30', 'item35', 'item14', 'item25', 'item32', 'item26', 'item27', 'item36', 'item28', 'item23', 'item10']"
33,T351,"['item59', 'item70', 'item14', 'item35', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item11', 'item23', 'item28', 'item24', 'item25']"
34,T54,"['item59', 'item70', 'item14', 'item35', 'item68', 'item26', 'item27', 'item23', 'item25', 'item13', 'item10']"
35,T26,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
36,T53,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item26', 'item36', 'item23', 'item24', 'item13', 'item45']"
37,T142,"['item70', 'item35', 'item68', 'item12', 'item26', 'item27', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item10', 'item13', 'item45']"
38,T689,"['item59', 'item70', 'item35', 'item30', 'item68', 'item12', 'item26', 'item27', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25', 'item10', 'item13', 'item45']"
39,T397,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
40,T564,"['item70', 'item14', 'item30', 'item12', 'item32', 'item27', 'item34', 'item26', 'item28', 'item23', 'item24', 'item25', 'item13', 'item10']"
41,T968,"['item70', 'item14', 'item68', 'item25', 'item12', 'item32', 'item27', 'item11', 'item10', 'item13', 'item45']"
42,T302,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
43,T784,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
44,T206,"['item68', 'item24', 'item10', 'item59', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
45,T304,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
46,T24,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
47,T37,"['item59', 'item70', 'item14', 'item35', 'item68', 'item12', 'item26', 'item27', 'item36', 'item11', 'item23', 'item28', 'item24', 'item10', 'item13']"
48,T525,"['item59', 'item70', 'item35', 'item68', 'item12', 'item32', 'item26', 'item36', 'item28', 'item23', 'item24', 'item13', 'item45']"
49,T955,"['item59', 'item70', 'item35', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item24', 'item10', 'item13', 'item45']"
50,T479,"['item59', 'item70', 'item30', 'item35', 'item68', 'item26', 'item27', 'item11', 'item23', 'item10']"
51,T677,"['item59', 'item68', 'item12', 'item27', 'item34', 'item11', 'item28', 'item23', 'item24', 'item25', 'item13', 'item10']"
52,T234,"['item59', 'item70', 'item14', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item24', 'item10', 'item45']"
53,T137,"['item30', 'item68', 'item34', 'item11', 'item28', 'item23', 'item10', 'item45']"
54,T337,"['item70', 'item14', 'item30', 'item35', 'item68', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item24', 'item25', 'item13', 'item45']"
55,T500,"['item30', 'item35', 'item14', 'item68', 'item32', 'item34', 'item36', 'item28', 'item11', 'item24', 'item25', 'item10', 'item13', 'item45']"
56,T377,"['item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item27', 'item26', 'item34', 'item36', 'item11', 'item23', 'item28', 'item25', 'item13', 'item10']"
57,T434,"['item59', 'item70', 'item14', 'item35', 'item68', 'item12', 'item32', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item10', 'item13', 'item45']"
58,T331,"['item30', 'item35', 'item68', 'item12', 'item34', 'item36', 'item28', 'item24', 'item25', 'item13', 'item45']"
59,T154,"['item68', 'item24', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
60,T91,"['item68', 'item34', 'item11', 'item23', 'item13']"
61,T344,"['item45', 'item14', 'item35', 'item30', 'item68', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25', 'item13', 'item10']"
62,T843,"['item14', 'item35', 'item68', 'item12', 'item32', 'item27', 'item34', 'item36', 'item24', 'item13', 'item45']"
63,T647,"['item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item26', 'item27', 'item36', 'item28', 'item11', 'item23', 'item13', 'item45']"
64,T217,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
65,T212,"['item70', 'item35', 'item30', 'item68', 'item25', 'item12', 'item26', 'item23', 'item10', 'item13']"
66,T914,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
67,T295,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
68,T927,"['item59', 'item70', 'item14', 'item30', 'item68', 'item25', 'item12', 'item26', 'item34', 'item36', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
69,T567,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item27', 'item26', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25', 'item13']"
70,T204,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item32', 'item27', 'item34', 'item26', 'item11', 'item28', 'item36', 'item24', 'item25', 'item13', 'item45']"
71,T898,"['item59', 'item70', 'item14', 'item30', 'item68', 'item12', 'item27', 'item26', 'item34', 'item36', 'item28', 'item24', 'item25', 'item13', 'item45']"
72,T570,"['item59', 'item70', 'item35', 'item30', 'item68', 'item25', 'item26', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item10', 'item13', 'item45']"
73,T343,"['item59', 'item70', 'item30', 'item35', 'item68', 'item25', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
74,T103,"['item30', 'item10', 'item68', 'item27']"
75,T286,"['item59', 'item70', 'item30', 'item35', 'item68', 'item12', 'item32', 'item27', 'item26', 'item34', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
76,T554,"['item59', 'item70', 'item45', 'item14', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item36', 'item25', 'item13', 'item10']"
77,T882,"['item59', 'item35', 'item14', 'item68', 'item12', 'item26', 'item34', 'item36', 'item28', 'item13', 'item45']"
78,T792,"['item59', 'item70', 'item14', 'item68', 'item12', 'item32', 'item26', 'item27', 'item34', 'item28', 'item24']"
79,T313,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
80,T193,"['item59', 'item70', 'item35', 'item30', 'item68', 'item12', 'item26', 'item27', 'item36', 'item11', 'item23', 'item28', 'item24', 'item25', 'item10']"
81,T870,"['item59', 'item68', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item24', 'item25', 'item10']"
82,T538,"['item70', 'item35', 'item30', 'item68', 'item12', 'item27', 'item34', 'item11', 'item24', 'item25', 'item13', 'item45']"
83,T221,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
84,T657,"['item59', 'item70', 'item35', 'item68', 'item25', 'item12', 'item32', 'item27', 'item36', 'item23', 'item24', 'item10', 'item13']"
85,T794,"['item59', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item28', 'item23', 'item10', 'item13', 'item45']"
86,T213,"['item59', 'item70', 'item35', 'item14', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item28', 'item23', 'item36', 'item25', 'item13', 'item45']"
87,T130,"['item70', 'item30', 'item68', 'item32', 'item23', 'item25', 'item45']"
88,T300,"['item59', 'item70', 'item14', 'item30', 'item68', 'item12', 'item32', 'item27', 'item36', 'item23', 'item25', 'item13', 'item45']"
89,T780,"['item70', 'item14', 'item30', 'item68', 'item12', 'item32', 'item27', 'item11', 'item36', 'item24']"
90,T610,"['item59', 'item70', 'item35', 'item14', 'item68', 'item32', 'item26', 'item34', 'item10', 'item13']"
91,T584,"['item59', 'item14', 'item30', 'item68', 'item32', 'item27', 'item11', 'item28', 'item36', 'item25', 'item13', 'item10']"
92,T148,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
93,T585,"['item59', 'item70', 'item30', 'item35', 'item68', 'item25', 'item12', 'item11', 'item24', 'item10', 'item13']"
94,T565,"['item70', 'item45', 'item30', 'item14', 'item35', 'item68', 'item26', 'item27', 'item34', 'item11', 'item36', 'item23', 'item24', 'item25', 'item13', 'item10']"
95,T403,"['item59', 'item70', 'item35', 'item30', 'item68', 'item25', 'item32', 'item27', 'item34', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
96,T287,"['item59', 'item35', 'item14', 'item68', 'item25', 'item12', 'item32', 'item36', 'item28', 'item10']"
97,T418,"['item59', 'item14', 'item35', 'item68', 'item25', 'item12', 'item26', 'item34', 'item27', 'item36', 'item11', 'item23', 'item10', 'item13', 'item45']"
98,T205,"['item59', 'item70', 'item68', 'item12', 'item34', 'item36', 'item11', 'item23', 'item25', 'item10', 'item13', 'item45']"
99,T440,"['item59', 'item70', 'item12', 'item26', 'item27', 'item36', 'item28', 'item23', 'item24', 'item13']"
100,T931,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item25', 'item12', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
101,T10,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
102,T245,"['item59', 'item14', 'item35', 'item30', 'item68', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item25', 'item13', 'item10']"
103,T750,"['item59', 'item70', 'item14', 'item35', 'item68', 'item25', 'item26', 'item11', 'item28', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
104,T132,"['item59', 'item36', 'item24', 'item10', 'item45']"
105,T135,"['item59', 'item35', 'item14', 'item32', 'item28', 'item23', 'item25', 'item45']"
106,T844,"['item59', 'item70', 'item14', 'item35', 'item68', 'item25', 'item32', 'item26', 'item27', 'item34', 'item11', 'item28', 'item36', 'item23', 'item24', 'item10', 'item45']"
107,T683,"['item59', 'item30', 'item14', 'item35', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
108,T316,"['item59', 'item30', 'item68', 'item12', 'item32', 'item34', 'item36', 'item11', 'item25', 'item10']"
109,T924,"['item68', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
110,T251,"['item59', 'item70', 'item30', 'item35', 'item25', 'item12', 'item32', 'item26', 'item34', 'item36', 'item28', 'item10', 'item13']"
111,T592,"['item59', 'item70', 'item35', 'item32', 'item26', 'item11', 'item23', 'item24', 'item25', 'item13']"
112,T776,"['item59', 'item14', 'item35', 'item68', 'item12', 'item27', 'item34', 'item26', 'item36', 'item28', 'item24', 'item10', 'item45']"
113,T737,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item10', 'item13', 'item45']"
114,T514,"['item68', 'item24', 'item10', 'item59', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
115,T312,"['item59', 'item14', 'item68', 'item12', 'item32', 'item27', 'item26', 'item11', 'item28', 'item36', 'item24', 'item10', 'item13']"
116,T426,"['item59', 'item70', 'item14', 'item30', 'item35', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item10', 'item45']"
117,T340,"['item59', 'item70', 'item35', 'item14', 'item30', 'item12', 'item26', 'item11', 'item23', 'item24', 'item10', 'item45']"
118,T600,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item11', 'item36', 'item23', 'item28', 'item24', 'item25', 'item13']"
119,T199,"['item59', 'item70', 'item30', 'item14', 'item35', 'item68', 'item25', 'item32', 'item26', 'item27', 'item34', 'item11', 'item36', 'item23', 'item10', 'item13', 'item45']"
120,T800,"['item59', 'item70', 'item30', 'item14', 'item35', 'item68', 'item25', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item23', 'item10', 'item45']"
121,T901,"['item59', 'item35', 'item30', 'item68', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24', 'item25', 'item45']"
122,T877,"['item59', 'item35', 'item14', 'item12', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item24', 'item10', 'item45']"
123,T734,"['item59', 'item14', 'item68', 'item32', 'item26', 'item27', 'item36', 'item11', 'item28', 'item23', 'item10', 'item13']"
124,T906,"['item59', 'item70', 'item35', 'item68', 'item32', 'item27', 'item36', 'item28', 'item23', 'item10']"
125,T934,"['item59', 'item14', 'item35', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
126,T254,"['item59', 'item14', 'item30', 'item35', 'item68', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
127,T176,"['item59', 'item70', 'item30', 'item14', 'item35', 'item12', 'item27', 'item26', 'item34', 'item36', 'item28', 'item24', 'item10', 'item13']"
128,T410,"['item59', 'item35', 'item14', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item10', 'item13', 'item45']"
129,T78,"['item59', 'item12', 'item26', 'item36', 'item23', 'item13']"
130,T414,"['item59', 'item35', 'item14', 'item30', 'item32', 'item26', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25']"
131,T533,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
132,T880,"['item59', 'item70', 'item45', 'item30', 'item14', 'item35', 'item12', 'item27', 'item26', 'item34', 'item36', 'item23', 'item25', 'item13', 'item10']"
133,T501,"['item59', 'item70', 'item30', 'item14', 'item35', 'item68', 'item25', 'item12', 'item26', 'item34', 'item11', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
134,T470,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item32', 'item26', 'item27', 'item36', 'item28', 'item23', 'item24', 'item25', 'item10', 'item45']"
135,T39,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
136,T669,"['item59', 'item35', 'item30', 'item25', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item24', 'item10', 'item13']"
137,T688,"['item59', 'item70', 'item14', 'item30', 'item68', 'item12', 'item26', 'item36', 'item24', 'item45']"
138,T151,"['item59', 'item70', 'item45', 'item35', 'item30', 'item14', 'item32', 'item27', 'item26', 'item36', 'item23', 'item24', 'item25', 'item13', 'item10']"
139,T549,"['item59', 'item70', 'item14', 'item30', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item36', 'item10', 'item13']"
140,T108,"['item59', 'item14', 'item32', 'item26', 'item13', 'item45']"
141,T580,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36']"
142,T335,"['item59', 'item14', 'item30', 'item35', 'item68', 'item25', 'item32', 'item27', 'item26', 'item34', 'item36', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
143,T649,"['item59', 'item70', 'item14', 'item35', 'item68', 'item12', 'item32', 'item26', 'item27', 'item36', 'item11', 'item25', 'item13', 'item45']"
144,T493,"['item59', 'item70', 'item35', 'item30', 'item12', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item10', 'item13', 'item45']"
145,T451,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
146,T691,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
147,T701,"['item59', 'item70', 'item30', 'item35', 'item68', 'item25', 'item12', 'item32', 'item27', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item10']"
148,T305,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item10', 'item13']"
149,T465,"['item59', 'item70', 'item35', 'item14', 'item30', 'item25', 'item32', 'item27', 'item26', 'item34', 'item11', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
150,T276,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
151,T471,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item11', 'item45']"
152,T160,"['item59', 'item70', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item10', 'item45']"
153,T364,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
154,T44,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
155,T871,"['item59', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item36', 'item11', 'item28', 'item24', 'item25', 'item13', 'item45']"
156,T320,"['item35', 'item30', 'item14', 'item12', 'item32', 'item26', 'item36', 'item11', 'item23', 'item10', 'item45']"
157,T200,"['item59', 'item14', 'item30', 'item35', 'item68', 'item12', 'item32', 'item36', 'item11', 'item23', 'item25', 'item45']"
158,T644,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
159,T179,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
160,T495,"['item70', 'item30', 'item14', 'item68', 'item32', 'item27', 'item34', 'item36', 'item11', 'item45']"
161,T671,"['item70', 'item14', 'item35', 'item12', 'item32', 'item26', 'item34', 'item11', 'item28', 'item24', 'item10', 'item13', 'item45']"
162,T954,"['item59', 'item30', 'item35', 'item25', 'item12', 'item32', 'item27', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item10', 'item13', 'item45']"
163,T899,"['item59', 'item30', 'item35', 'item14', 'item12', 'item32', 'item27', 'item36', 'item11', 'item23', 'item25', 'item10', 'item45']"
164,T893,"['item59', 'item70', 'item30', 'item14', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item11', 'item36', 'item23', 'item28', 'item24', 'item10', 'item13', 'item45']"
165,T238,"['item59', 'item70', 'item30', 'item35', 'item14', 'item32', 'item26', 'item27', 'item36', 'item28', 'item11', 'item24', 'item10', 'item45']"
166,T764,"['item59', 'item35', 'item30', 'item14', 'item68', 'item25', 'item12', 'item32', 'item26', 'item27', 'item34', 'item11', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
167,T695,"['item59', 'item14', 'item35', 'item25', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item45']"
168,T904,"['item30', 'item14', 'item68', 'item12', 'item27', 'item34', 'item11', 'item28', 'item13', 'item45']"
169,T387,"['item30', 'item35', 'item14', 'item12', 'item27', 'item34', 'item26', 'item11', 'item28', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
170,T551,"['item59', 'item70', 'item14', 'item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item10', 'item13', 'item45']"
171,T311,"['item59', 'item35', 'item68', 'item12', 'item32', 'item26', 'item34', 'item11', 'item25', 'item10', 'item45']"
172,T79,"['item26', 'item34', 'item25', 'item13', 'item45']"
173,T907,"['item35', 'item30', 'item14', 'item68', 'item27', 'item34', 'item11', 'item23', 'item25', 'item10', 'item13', 'item45']"
